,Unnamed: 0,Country,Year,GDP,PP,UNE_Y15-24,UNE_Y25-39,UNE_Y40-64,UNE_TOTAL,EM_P,CRI_TOT,CRI_A60,CRI_B60,UNE_EDL0-2,UNE_EDL3_4,UNE_EDL5-8
313,313,FR,2018,32860,6,20.8,9.7,6.7,9,0.51,14.9,14.3,18.7,16.1,9.7,5.4
314,314,HR,2018,11990,7.1,23.7,9.5,5.3,8.5,0.97,2.6,2.7,2.4,11.6,9.1,6
315,315,HU,2018,12560,6.5,10.2,4,2.8,3.7,0.49,4.8,3.9,11.8,10.3,3.3,1.5
316,316,IE,2018,57780,6.4,13.8,5.3,4.4,5.8,1.1,10,9.4,13.6,9.9,6.9,3.8
317,317,IT,2018,26780,6.2,32.2,13.5,7.4,10.6,0.26,11.3,11.3,11.5,14.6,10.1,5.9
318,318,LT,2018,13310,3.3,11.1,5,6.5,6.2,1.15,3.7,3.5,4.5,17.9,8,2.8
319,319,LU,2018,83470,6.4,14.2,6.1,3.9,5.6,2.3,11.3,10.8,14.2,8.4,5.6,4.3
320,320,LV,2018,12180,3,12.2,7.8,6.9,7.4,0.82,8.6,9,7.4,16.5,8.5,3.7
321,321,MT,2018,21580,4.2,9.1,3,2.9,3.7,1.93,12.5,12.2,13.7,5.4,3.4,1.9
322,322,NL,2018,41450,7.3,7.2,2.9,3.4,3.8,0.64,17.5,16.8,21.6,6.6,3.6,2.5
323,323,PL,2018,12460,7.7,11.7,3.9,2.8,3.9,0.5,4.8,4.8,4.6,9.9,4.4,2
324,324,PT,2018,18190,4,20.3,6.6,6,7.1,0.31,6.5,6.3,7.4,7.4,8.2,5.4
325,325,RO,2018,8740,3.2,16.2,4.3,2.8,4.2,1.19,11.5,11.3,12.3,5.8,4.3,2.1
326,326,SE,2018,43760,3.4,17.4,6.2,4.2,6.4,0.46,14.4,14.2,15.9,18.7,4.6,3.7
327,327,SI,2018,20170,7,8.8,6.3,4,5.1,0.65,7.9,8.1,6.4,8.6,5.5,3.6
328,328,SK,2018,15520,3.4,14.9,7,5.3,6.5,0.06,4.8,4.3,8.6,29.8,5.8,3.1
329,329,UK,2018,32700,7.4,11.3,3.4,2.8,4,0.52,24.2,23.8,25.7,6.4,4.6,2.5
